"","playlist","acou","dance","energy","loud","speech","tempo","val"
"282",0,0.031,0.61,0.926,0.954650202182704,0.0479,0.774456990587198,0.861
"284",0,0.513,0.698,0.879,0.967824688029914,0.034,0.322993948456441,0.883
"285",0,0.869,0.542,0.306,0.909974346710726,0.0284,0.552818408961652,0.391
"288",0,0.479,0.665,0.771,0.994695421540067,0.0371,0.469713526190339,0.679
"289",0,0.0941,0.607,0.471,0.903169703030567,0.029,0.56560525020928,0.315
"292",0,0.572,0.308,0.426,0.882734031914431,0.0424,0.591262005636179,0.182
"294",0,0.572,0.339,0.218,0.814687595112831,0.0314,0.486500648607889,0.327
"297",0,0.906,0.474,0.121,0.731075264141919,0.0384,0.292512572768693,0.424
"298",0,0.481,0.792,0.306,0.783642767076829,0.0387,0.258931937708082,0.759
"301",0,0.458,0.394,0.322,0.825275011957041,0.031,0.341544773115043,0.375
"302",0,0.772,0.369,0.349,0.88456019826949,0.0321,0.401874892164945,0.178
"303",0,0.742,0.373,0.266,0.807774251054394,0.032,0.234674641668105,0.399
"304",0,0.0522,0.449,0.585,0.912930996999869,0.0268,0.563509256241653,0.203
"305",0,0.728,0.656,0.356,0.800252184877603,0.0366,0.169475170778777,0.257
"309",0,0.014,0.716,0.805,0.976477238140789,0.0856,0.584335001182192,0.719
"310",0,0.417,0.795,0.616,0.945128049045611,0.06,0.374281898408195,0.815
"311",0,0.946,0.453,0.0531,0.626092438801687,0.0355,0.181603818798765,0.354
